customer_id,first_name,last_name,email,city,state,age,gender,signup_date,loyalty_tier
C00001,Isaac,Bakshi,yash32@example.net,New Delhi,Delhi,35,Female,2026-05-28,Bronze
C00002,Harsh,Chahal,bbalay@example.org,Pune,Maharashtra,23,Female,2023-06-28,Bronze
C00003,Tejas,Kaul,issaconi@example.org,Pune,Maharashtra,50,Female,2025-03-29,Silver
C00004,Saumya,Mall,duttapahal@example.com,New Delhi,Delhi,52,Female,2022-08-12,Bronze
C00005,Arunima,Dugal,gayathrichaudry@example.org,Mumbai,Maharashtra,28,Female,2026-07-05,Bronze
C00006,Lajita,Chatterjee,hemangini94@example.org,Pune,Maharashtra,24,Female,2024-08-28,Bronze
C00007,Tripti,Yadav,radhakrishnanfarhan@example.net,Chennai,Tamil Nadu,34,Male,2023-02-28,Silver
C00008,Chaaya,Pathak,ekarajbath@example.net,Bengaluru,Karnataka,23,Female,2024-06-03,Gold
C00009,Vedant,Mann,kaulharrison@example.com,Bengaluru,Karnataka,54,Female,2024-07-08,Bronze
C00010,Arunima,Setty,nicholas55@example.org,New Delhi,Delhi,23,Male,2024-12-03,Gold
C00011,Amara,Bora,yashgade@example.com,Mumbai,Maharashtra,58,Male,2024-01-02,Bronze
C00012,Ladli,Madan,ektabhalla@example.org,Mumbai,Maharashtra,35,Female,2022-10-15,Silver
C00013,Azad,Mutti,eloyal@example.org,Pune,Maharashtra,28,Female,2022-12-26,Bronze
C00014,Divya,Kala,prandhawa@example.com,Bengaluru,Karnataka,58,Female,2025-01-12,Bronze
C00015,Luke,Lanka,yatinyohannan@example.com,Mumbai,Maharashtra,32,Male,2026-03-26,Gold
C00016,Priya,Rastogi,theodore28@example.com,Mumbai,Maharashtra,31,Male,2026-03-05,Silver
C00017,Gavin,Batta,duanathaniel@example.net,New Delhi,Delhi,59,Female,2025-05-09,Gold
C00018,Pahal,Bhatt,mraj@example.com,New Delhi,Delhi,34,Female,2025-09-29,Silver
C00019,Zayan,Apte,yadavamara@example.net,Bengaluru,Karnataka,45,Male,2023-04-08,Bronze
C00020,Harini,Choudhury,radhika27@example.org,Pune,Maharashtra,50,Female,2025-10-08,Silver
C00021,Adya,Tella,yashicacherian@example.net,Chennai,Tamil Nadu,58,Female,2025-09-08,Silver
C00022,Chanchal,Tripathi,michaelprakash@example.org,Bengaluru,Karnataka,42,Female,2024-05-21,Bronze
C00023,Aadi,Naik,hbahl@example.com,Mumbai,Maharashtra,18,Female,2023-06-11,Bronze
C00024,Damyanti,Khatri,khoslafarhan@example.org,Chennai,Tamil Nadu,59,Female,2025-01-18,Bronze
C00025,Vedika,Biswas,kabirsoman@example.net,Pune,Maharashtra,34,Other,2026-07-12,Silver
C00026,Noah,Lanka,ikakar@example.net,Bengaluru,Karnataka,58,Female,2025-12-13,Silver
C00027,Sai,Muni,cprakash@example.net,Bengaluru,Karnataka,41,Male,2025-09-08,Silver
C00028,Siya,Dara,umangbhatt@example.com,Hyderabad,Telangana,18,Female,2023-07-28,Bronze
C00029,Ansh,Karpe,abhimanyubobal@example.net,Pune,Maharashtra,37,Female,2024-07-05,Bronze
C00030,Daniel,Karnik,balayganga@example.org,Bengaluru,Karnataka,23,Male,2026-02-07,Gold
C00031,Yoshita,Khanna,vedika38@example.org,Gurugram,Haryana,26,Female,2023-07-24,Bronze
C00032,Urvashi,Kibe,mray@example.org,Bengaluru,Karnataka,51,Male,2025-01-22,Bronze
C00033,Gunbir,Sankar,pallavi67@example.net,Pune,Maharashtra,30,Female,2023-07-10,Bronze
C00034,Chatura,Chaudhari,rauharinakshi@example.org,New Delhi,Delhi,46,Male,2024-06-14,Bronze
C00035,Yuvraj,Handa,saumyadey@example.com,Pune,Maharashtra,39,Female,2026-03-09,Silver
C00036,Qadim,Mallick,ekrish@example.com,Bengaluru,Karnataka,22,Female,2026-07-04,Bronze
C00037,Guneet,Bedi,chanderwarjas@example.org,Pune,Maharashtra,39,Female,2026-05-15,Bronze
C00038,Niharika,Sunder,zkala@example.org,New Delhi,Delhi,52,Female,2025-05-06,Gold
C00039,Nitesh,Raghavan,ramakrishnanalka@example.com,Bengaluru,Karnataka,33,Male,2023-11-23,Gold
C00040,Bhavika,Sampath,mdubey@example.com,Pune,Maharashtra,60,Female,2026-01-01,Bronze
C00041,Teerth,Bhardwaj,murthydakshesh@example.org,Bengaluru,Karnataka,59,Other,2026-03-30,Bronze
C00042,Vansha,Thakkar,daksheshtrivedi@example.org,Mumbai,Maharashtra,24,Female,2024-08-23,Bronze
C00043,Quincy,Biswas,keernetra@example.org,Mumbai,Maharashtra,29,Female,2024-03-06,Bronze
C00044,Yatin,Baral,sainidiya@example.com,Ahmedabad,Gujarat,53,Female,2024-01-23,Silver
C00045,Samarth,Murthy,alkarandhawa@example.org,Bengaluru,Karnataka,23,Male,2026-06-18,Gold
C00046,Charita,Shankar,elijah07@example.net,Pune,Maharashtra,48,Female,2023-10-28,Bronze
C00047,Harish,Borah,yashawinilanka@example.org,Pune,Maharashtra,18,Other,2024-06-02,Bronze
C00048,Ikshita,Biswas,kalamane@example.org,Hyderabad,Telangana,36,Female,2023-12-30,Platinum
C00049,Raksha,Mittal,mistryhemang@example.org,Noida,Uttar Pradesh,60,Female,2023-06-06,Bronze
C00050,Aishani,D’Alia,dugalanita@example.com,Mumbai,Maharashtra,55,Male,2026-03-21,Bronze
C00051,Shivansh,Oza,aishanitiwari@example.com,Mumbai,Maharashtra,55,Female,2026-04-07,Gold
C00052,Zayan,Behl,sampatharadhana@example.org,Bengaluru,Karnataka,50,Female,2026-03-24,Bronze
C00053,Aarush,Nath,adwetaedwin@example.net,Bengaluru,Karnataka,33,Female,2022-10-05,Gold
C00054,Riya,Sane,choudhuryfaqid@example.net,Bengaluru,Karnataka,56,Female,2023-04-20,Bronze
C00055,Manthan,Banik,manbir62@example.org,New Delhi,Delhi,51,Female,2023-05-18,Bronze
C00056,Darika,Patla,parmarshivansh@example.net,New Delhi,Delhi,33,Female,2024-10-13,Bronze
C00057,Zaid,Chauhan,niharika92@example.org,New Delhi,Delhi,38,Male,2023-12-25,Gold
C00058,Nicholas,Goel,lbakshi@example.net,Pune,Maharashtra,54,Other,2023-01-23,Bronze
C00059,Gaurangi,Sabharwal,amaradutta@example.net,Pune,Maharashtra,26,Male,2025-01-21,Gold
C00060,Hritik,Raja,singhaltristan@example.org,Chennai,Tamil Nadu,36,Female,2024-06-22,Gold
C00061,Triveni,Palla,vedant30@example.net,New Delhi,Delhi,59,Female,2023-02-12,Silver
C00062,Reyansh,Rastogi,arya14@example.com,Bengaluru,Karnataka,24,Male,2022-10-29,Bronze
C00063,Yashodhara,Ratta,ayaan14@example.org,Pune,Maharashtra,53,Female,2025-12-11,Bronze
C00064,Alka,Barad,sarafhemani@example.net,Pune,Maharashtra,31,Female,2024-08-15,Gold
C00065,Dipta,Sarin,rajanranveer@example.com,Bengaluru,Karnataka,21,Female,2025-02-19,Bronze
C00066,Chaitanya,Sarin,venkateshronith@example.com,Mumbai,Maharashtra,39,Male,2026-07-11,Silver
C00067,Raagini,Boase,dipta14@example.net,Mumbai,Maharashtra,53,Female,2024-01-26,Silver
C00068,Dayamai,Rege,neha48@example.org,Pune,Maharashtra,27,Female,2022-09-02,Gold
C00069,Rehaan,Salvi,nghosh@example.net,Bengaluru,Karnataka,45,Female,2025-09-18,Bronze
C00070,Charvi,Ravi,modibhavini@example.org,Ahmedabad,Gujarat,40,Female,2026-04-28,Bronze
C00071,Qushi,Nagy,csathe@example.net,Pune,Maharashtra,44,Other,2023-05-29,Silver
