customer_id	first_name	last_name	loyalty_tier	total_orders	total_units	lifetime_value_inr	customer_aov_inr
C00001	Isaac	Bakshi	Bronze	9	35	96080.00	10675.56
C00002	Harsh	Chahal	Bronze	10	51	167812.50	16781.25
C00003	Tejas	Kaul	Silver	13	60	219855.00	16911.92
C00004	Saumya	Mall	Bronze	11	51	137632.50	12512.05
C00005	Arunima	Dugal	Bronze	6	32	96992.50	16165.42
C00006	Lajita	Chatterjee	Bronze	7	46	150797.50	21542.50
C00007	Tripti	Yadav	Silver	11	42	107937.50	9812.50
C00008	Chaaya	Pathak	Gold	11	64	217955.00	19814.09
C00009	Vedant	Mann	Bronze	14	61	170952.50	12210.89
C00010	Arunima	Setty	Gold	14	68	177457.50	12675.54
C00011	Amara	Bora	Bronze	2	10	27935.00	13967.50
C00012	Ladli	Madan	Silver	6	26	64587.50	10764.58
C00013	Azad	Mutti	Bronze	9	49	179827.50	19980.83
C00014	Divya	Kala	Bronze	6	29	97482.50	16247.08
C00015	Luke	Lanka	Gold	15	79	235675.00	15711.67
C00016	Priya	Rastogi	Silver	14	58	229155.00	16368.21
C00017	Gavin	Batta	Gold	13	79	244717.50	18824.42
C00018	Pahal	Bhatt	Silver	8	22	59355.00	7419.38
C00019	Zayan	Apte	Bronze	7	43	102740.00	14677.14
C00020	Harini	Choudhury	Silver	8	33	101407.50	12675.94
C00021	Adya	Tella	Silver	10	49	131267.50	13126.75
C00022	Chanchal	Tripathi	Bronze	6	27	89312.50	14885.42
C00023	Aadi	Naik	Bronze	17	76	236335.00	13902.06
C00024	Damyanti	Khatri	Bronze	2	5	14197.50	7098.75
C00025	Vedika	Biswas	Silver	7	24	77355.00	11050.71
C00026	Noah	Lanka	Silver	9	45	120025.00	13336.11
C00027	Sai	Muni	Silver	14	67	217162.50	15511.61
C00028	Siya	Dara	Bronze	6	38	110107.50	18351.25
C00029	Ansh	Karpe	Bronze	9	53	217070.00	24118.89
C00030	Daniel	Karnik	Gold	15	74	217797.50	14519.83
C00031	Yoshita	Khanna	Bronze	9	47	125767.50	13974.17
C00032	Urvashi	Kibe	Bronze	11	49	134450.00	12222.73
C00033	Gunbir	Sankar	Bronze	6	26	76522.50	12753.75
C00034	Chatura	Chaudhari	Bronze	9	40	109535.00	12170.56
C00035	Yuvraj	Handa	Silver	12	60	211567.50	17630.63
C00036	Qadim	Mallick	Bronze	17	61	182732.50	10748.97
C00037	Guneet	Bedi	Bronze	5	21	78442.50	15688.50
C00038	Niharika	Sunder	Gold	13	46	131920.00	10147.69
C00039	Nitesh	Raghavan	Gold	11	47	154997.50	14090.68
C00040	Bhavika	Sampath	Bronze	11	60	201457.50	18314.32
C00041	Teerth	Bhardwaj	Bronze	18	101	352970.00	19609.44
C00042	Vansha	Thakkar	Bronze	10	52	151990.00	15199.00
C00043	Quincy	Biswas	Bronze	14	74	239535.00	17109.64
C00044	Yatin	Baral	Silver	9	34	137455.00	15272.78
C00045	Samarth	Murthy	Gold	10	60	217722.50	21772.25
C00046	Charita	Shankar	Bronze	13	84	250205.00	19246.54
C00047	Harish	Borah	Bronze	8	39	114227.50	14278.44
C00048	Ikshita	Biswas	Platinum	4	26	104610.00	26152.50
C00049	Raksha	Mittal	Bronze	9	37	104105.00	11567.22
C00050	Aishani	D’Alia	Bronze	16	85	242485.00	15155.31
C00051	Shivansh	Oza	Gold	13	69	212082.50	16314.04
C00052	Zayan	Behl	Bronze	7	40	113682.50	16240.36
C00053	Aarush	Nath	Gold	11	51	167800.00	15254.55
C00054	Riya	Sane	Bronze	8	46	169742.50	21217.81
C00055	Manthan	Banik	Bronze	6	28	85090.00	14181.67
C00056	Darika	Patla	Bronze	15	68	247555.00	16503.67
C00057	Zaid	Chauhan	Gold	11	51	184375.00	16761.36
C00058	Nicholas	Goel	Bronze	7	23	66920.00	9560.00
C00059	Gaurangi	Sabharwal	Gold	4	11	45385.00	11346.25
C00060	Hritik	Raja	Gold	18	89	241127.50	13395.97
C00061	Triveni	Palla	Silver	6	35	113080.00	18846.67
C00062	Reyansh	Rastogi	Bronze	6	34	99837.50	16639.58
C00063	Yashodhara	Ratta	Bronze	8	41	143370.00	17921.25
C00064	Alka	Barad	Gold	10	62	152380.00	15238.00
C00065	Dipta	Sarin	Bronze	8	47	115132.50	14391.56
C00066	Chaitanya	Sarin	Silver	11	50	185145.00	16831.36
C00067	Raagini	Boase	Silver	7	40	139450.00	19921.43
C00068	Dayamai	Rege	Gold	3	13	47467.50	15822.50
C00069	Rehaan	Salvi	Bronze	10	51	180875.00	18087.50
C00070	Charvi	Ravi	Bronze	8	35	102690.00	12836.25
C00071	Qushi	Nagy	Silver	10	42	128070.00	12807.00
C00072	Tanay	Vaidya	Gold	6	31	124835.00	20805.83
C00073	Bhanumati	Varma	Bronze	10	50	158172.50	15817.25
C00074	Rushil	Din	Silver	8	42	142237.50	17779.69
C00075	Elijah	Shah	Gold	9	38	105010.00	11667.78
C00076	Leena	Talwar	Silver	12	56	160165.00	13347.08
C00077	Abdul	Chhabra	Bronze	14	66	201327.50	14380.54
C00078	Zarna	Shetty	Bronze	11	54	203500.00	18500.00
C00079	Kiaan	Shetty	Platinum	13	57	172590.00	13276.15
C00080	Sanaya	Dutt	Silver	14	96	359905.00	25707.50
C00081	Aradhana	Verma	Silver	13	56	200185.00	15398.85
C00082	Faras	Mangal	Gold	11	68	244205.00	22200.45
C00083	Faris	Devi	Bronze	4	25	67807.50	16951.88
C00084	Michael	Kala	Gold	10	59	193940.00	19394.00
C00085	Unnati	Sagar	Bronze	17	96	290872.50	17110.15
C00086	Anmol	Rai	Bronze	14	52	165810.00	11843.57
C00087	Madhavi	Saini	Bronze	13	66	192762.50	14827.88
C00088	Rajata	Sunder	Bronze	10	47	154510.00	15451.00
C00089	Nidhi	Gandhi	Bronze	11	50	215595.00	19599.55
C00090	Avi	Ramesh	Bronze	9	41	137790.00	15310.00
C00091	Triya	Gopal	Platinum	13	71	247027.50	19002.12
C00092	Siddharth	Sha	Bronze	7	29	96622.50	13803.21
C00093	Zayyan	Bumb	Bronze	9	36	98405.00	10933.89
C00094	Charles	Palla	Silver	8	31	106505.00	13313.13
C00095	Yug	Iyengar	Bronze	5	31	90267.50	18053.50
C00096	Urvashi	Contractor	Gold	6	25	68617.50	11436.25
C00097	Oliver	Contractor	Gold	12	57	180412.50	15034.38
C00098	Atharv	Muni	Platinum	9	65	214542.50	23838.06
C00099	Faqid	Kibe	Gold	10	44	121670.00	12167.00
C00100	Benjamin	Palan	Silver	9	51	171037.50	19004.17
C00101	Harita	Arora	Bronze	12	50	151607.50	12633.96
C00102	Janaki	Sharaf	Bronze	9	36	117155.00	13017.22
C00103	Anamika	Yohannan	Gold	8	38	134797.50	16849.69
C00104	Amrita	Naidu	Bronze	9	53	191510.00	21278.89
C00105	Yagnesh	Shetty	Bronze	9	47	167452.50	18605.83
C00106	Ekta	Gopal	Silver	5	29	87520.00	17504.00
C00107	Harini	Mammen	Gold	11	62	187340.00	17030.91
C00108	Wyatt	Ray	Silver	15	60	199930.00	13328.67
C00109	Vritti	Sem	Bronze	18	102	343945.00	19108.06
C00110	Nidhi	Kohli	Bronze	11	46	191732.50	17430.23
C00111	Hemangini	Sandal	Silver	11	71	201065.00	18278.64
C00112	Zayan	Kashyap	Bronze	4	24	84110.00	21027.50
C00113	Qasim	Handa	Bronze	4	22	65812.50	16453.13
C00114	Barkha	Chaudhry	Bronze	10	48	154987.50	15498.75
C00115	Praneel	Mittal	Bronze	17	86	346300.00	20370.59
C00116	Chakradev	Bhagat	Bronze	4	25	59707.50	14926.88
C00117	Bhavani	Singh	Bronze	10	50	139082.50	13908.25
C00118	Charan	Krishnan	Silver	13	43	114457.50	8804.42
C00119	Vyanjana	Borah	Silver	11	47	145345.00	13213.18
C00120	Daksha	Chada	Bronze	9	38	112440.00	12493.33
C00121	Upkaar	Virk	Silver	8	27	101005.00	12625.63
C00122	Pushti	Mody	Bronze	13	52	169720.00	13055.38
C00123	Siddharth	Lalla	Silver	17	66	225455.00	13262.06
C00124	Falan	Dugar	Silver	15	75	232362.50	15490.83
C00125	Upma	Manne	Bronze	8	38	111045.00	13880.63
C00126	Barkha	Setty	Bronze	9	40	124682.50	13853.61
C00127	Rudra	Sandal	Bronze	5	22	80740.00	16148.00
C00128	Lucky	Bora	Gold	11	55	193457.50	17587.05
C00129	Bhavya	Sarna	Silver	10	50	135337.50	13533.75
C00130	Neha	Magar	Bronze	10	57	146332.50	14633.25
C00131	Balveer	Sankaran	Bronze	8	42	155897.50	19487.19
C00132	Ansh	Luthra	Bronze	8	34	113500.00	14187.50
C00133	Riya	Mall	Bronze	11	55	150075.00	13643.18
C00134	Upma	Pall	Bronze	10	64	214522.50	21452.25
C00135	Henry	Dyal	Bronze	11	69	184075.00	16734.09
C00136	Nandini	Bansal	Silver	5	21	60895.00	12179.00
C00137	Ekiya	D’Alia	Silver	9	56	183122.50	20346.94
C00138	Turvi	Sachdev	Bronze	13	53	207837.50	15987.50
